Beta Gives you Wings,9/13/2017,4:30-6:30,Hirst Lounge,Classes got you grounded? Come on over to Hirst and take flight with us Betas!
Meet and Greet With Beta,9/15/2017,6:45-8:45,Bridge Lounge,Meet and Greet and some sexy Beta Heat? Stop by and have a chat with our brothers! 
Salvatores Pizza,9/18/2017,4:30-6:30,Hirst Lounge,Pro at scarfing down pies and meeting dope dudes? Come on over and lets see what you got!
